detailed_work_activity,impact,intermediate_work_activity,element
Accompany individuals or groups to activities.,-0.02753279960387145,Escort others.,Performing General Physical Activities
Accompany patients or clients on outings to provide assistance.,0.034211309725759254,Escort others.,Performing General Physical Activities
Acquire supplies or equipment.,-0.28471427460310395,Purchase goods or services.,Monitoring and Controlling Resources
Add garnishes to food.,-0.005974809601390518,Prepare foods or beverages.,Handling and Moving Objects
Adjust dental devices or appliances to ensure fit.,-0.04950554193423251,Adjust medical equipment to ensure adequate performance.,Handling and Moving Objects
Adjust equipment controls to regulate coolant flow.,-0.5290314946892378,Adjust equipment to ensure adequate performance.,Handling and Moving Objects
Adjust equipment controls to regulate flow of production materials or products.,0.1807456973917274,Adjust equipment to ensure adequate performance.,Handling and Moving Objects
"Adjust equipment controls to regulate flow of water, cleaning solutions, or other liquids.",0.13301602232903864,Adjust equipment to ensure adequate performance.,Handling and Moving Objects
Adjust equipment controls to regulate gas flow.,-0.001868604754968306,Adjust equipment to ensure adequate performance.,Handling and Moving Objects
Adjust equipment to ensure optimal performance.,0.01781162521622992,Adjust equipment to ensure adequate performance.,Handling and Moving Objects
Adjust fabrics or other materials during garment production.,-0.23521039567845703,Position workpieces or materials on equipment.,Handling and Moving Objects
Adjust flow of electricity to tools or production equipment.,0.15315349478595186,Adjust equipment to ensure adequate performance.,Handling and Moving Objects
Adjust office equipment to ensure proper operation.,0.13645968429834943,Adjust equipment to ensure adequate performance.,Handling and Moving Objects
Adjust position of molds during processing.,0.09499217317130082,Position tools or equipment.,Handling and Moving Objects
Adjust positions of patients on beds or tables.,0.027941035247597057,Assist healthcare practitioners during medical procedures.,Assisting and Caring for Others
Adjust prostheses or other assistive devices.,0.08440693334532146,Adjust medical equipment to ensure adequate performance.,Handling and Moving Objects
Adjust routes or speeds as necessary.,0.1389037798613013,Plan work activities.,"Organizing, Planning, and Prioritizing Work"
Adjust settings or positions of medical equipment.,0.03866148368101774,Adjust equipment to ensure adequate performance.,Handling and Moving Objects
Adjust temperature controls of ovens or other heating equipment.,-1.5331405966295306,Adjust equipment to ensure adequate performance.,Handling and Moving Objects
Adjust the tension of nuts or bolts.,-0.01682578186206607,Adjust equipment to ensure adequate performance.,Handling and Moving Objects
Adjust tuning or functioning of musical instruments.,-0.07904252541311596,Adjust equipment to ensure adequate performance.,Handling and Moving Objects
Adjust vehicle components according to specifications.,-0.18541902551248413,Adjust equipment to ensure adequate performance.,Handling and Moving Objects
Administer anesthetics or sedatives to control pain.,-0.018407013810314954,Administer basic health care or medical treatments.,Assisting and Caring for Others
Administer basic health care or medical treatments.,-0.08747760346085842,Administer basic health care or medical treatments.,Assisting and Caring for Others
Administer blood or other fluids intravenously.,0.03484958223199408,Administer basic health care or medical treatments.,Assisting and Caring for Others
Administer cancer treatments.,-0.018601229736834313,"Treat injuries, illnesses, or diseases.",Assisting and Caring for Others
Administer compensation or benefits programs.,0.011368755924052287,Perform human resources activities.,Staffing Organizational Units
Administer drug screening tests.,0.0,Administer diagnostic tests to assess patient health.,"Inspecting Equipment, Structures, or Material"
Administer first aid.,0.45228814353048064,Administer emergency medical treatment.,Assisting and Caring for Others
Administer intravenous medications.,0.01369285982668389,Administer basic health care or medical treatments.,Assisting and Caring for Others
