region,NUTS,region_name,risk_category,2014,2015,2016,2017,2018,average,percentage,LQ
10,FR10,Île de France,High risk,989.219,924.622,871.28,939.577,927.254,930.39,0.176,1.054
10,FR10,Île de France,Low risk,484.177,435.425,459.618,511.525,463.422,470.833,0.089,0.644
10,FR10,Île de France,Other,3727.867,3854.677,3865.315,3964.276,4063.003,3895.028,0.735,1.058
B0,FRB0,Centre-Val de Loire,High risk,176.932,132.849,183.79,181.347,160.754,167.134,0.167,1.0
B0,FRB0,Centre-Val de Loire,Low risk,164.39,142.166,131.743,127.319,139.975,141.119,0.141,1.02
B0,FRB0,Centre-Val de Loire,Other,649.833,706.222,696.562,701.126,716.293,694.007,0.692,0.996
C1,FRC1,Bourgogne,High risk,108.339,85.172,96.784,90.203,94.53,95.006,0.15,0.901
C1,FRC1,Bourgogne,Low risk,87.688,111.981,102.224,85.199,93.492,96.117,0.152,1.102
C1,FRC1,Bourgogne,Other,436.286,435.048,432.189,437.205,465.158,441.177,0.698,1.003
C2,FRC2,Franche-Comté,High risk,60.813,73.337,70.139,72.755,66.047,68.618,0.144,0.865
C2,FRC2,Franche-Comté,Low risk,76.446,60.895,63.625,74.449,73.158,69.715,0.146,1.061
C2,FRC2,Franche-Comté,Other,327.574,344.537,339.708,348.848,327.753,337.684,0.709,1.02
D1,FRD1,Lower Normandy,High risk,97.583,80.52,82.241,79.863,70.793,82.2,0.141,0.845
D1,FRD1,Lower Normandy,Low risk,117.0,106.949,104.471,103.655,114.749,109.365,0.187,1.359
D1,FRD1,Lower Normandy,Other,386.915,383.222,383.081,406.309,399.647,391.835,0.672,0.966
D2,FRD2,Upper Normandy,High risk,135.509,114.445,103.048,117.679,118.921,117.92,0.166,0.994
D2,FRD2,Upper Normandy,Low risk,113.706,102.633,107.579,125.699,106.924,111.308,0.156,1.134
D2,FRD2,Upper Normandy,Other,473.84,494.201,500.824,458.684,482.972,482.104,0.678,0.975
E1,FRE1,Nord-Pas-de-Calais,High risk,225.266,264.145,236.604,237.363,260.819,244.839,0.164,0.985
E1,FRE1,Nord-Pas-de-Calais,Low risk,214.111,222.274,212.444,218.693,191.609,211.826,0.142,1.03
E1,FRE1,Nord-Pas-de-Calais,Other,1038.659,1001.429,1047.318,1026.444,1056.066,1033.983,0.694,0.998
E2,FRE2,Picardy,High risk,133.533,98.047,123.584,109.905,101.452,113.304,0.151,0.904
E2,FRE2,Picardy,Low risk,133.74,125.201,120.825,124.981,110.136,122.977,0.164,1.185
E2,FRE2,Picardy,Other,482.336,527.087,505.085,535.472,528.868,515.77,0.686,0.986
F1,FRF1,Alsace,High risk,122.502,133.379,115.693,123.34,127.818,124.546,0.155,0.93
F1,FRF1,Alsace,Low risk,122.115,81.561,109.533,118.272,111.834,108.663,0.135,0.98
F1,FRF1,Alsace,Other,561.07,576.728,554.174,552.988,605.779,570.148,0.71,1.021
F2,FRF2,Champagne-Ardenne,High risk,67.078,84.494,82.727,89.315,72.991,79.321,0.162,0.972
F2,FRF2,Champagne-Ardenne,Low risk,90.462,71.517,89.83,62.112,79.927,78.77,0.161,1.166
F2,FRF2,Champagne-Ardenne,Other,341.403,329.717,313.764,340.384,332.611,331.576,0.677,0.974
F3,FRF3,Lorraine,High risk,177.023,152.041,142.024,138.343,153.486,152.583,0.17,1.022
F3,FRF3,Lorraine,Low risk,113.953,128.568,132.476,133.316,145.705,130.804,0.146,1.059
F3,FRF3,Lorraine,Other,591.331,598.722,632.066,631.147,606.193,611.892,0.683,0.983
